name,is_airmover,is_dehum,default_charge_rate_per_interval,default_charging_interval,default_charge_rate_per_week,default_buy_cost_per_interval
Access Equipment - Knuckle Boom (above 11m),,,"$0,00 ",day,,"$0,00"
Access Equipment - Knuckle Boom (up-to 11m),,,"$320,00 ",day,"$1 280,00","$25,60"
Access Equipment - Pick Up & Delivery Charges,,,"$0,00 ",day,,"$0,00"
Access Equipment - Scissor Lift (above 11m),,,"$0,00 ",day,,"$0,00"
Access Equipment - Scissor Lift (up-to 11m),,,"$294,00 ",day,"$1 176,00","$23,52"
Air Scrubber (HEPA),1,,"$89,25 ",day,"$357,00","$7,14"
Airless Sprayer,,,"$95,00 ",day,"$380,00","$7,60"
Airless Sprayer (High Performance),,,"$220,50 ",day,"$882,00","$17,64"
Auto Sweeper / Scrubber,,,"$238,50 ",day,"$954,00","$19,08"
BioSweep Air & Surface Decontaminator,,,"$21,00 ",hour,,"$1,68"
Blasting / Dry Ice / Garnett/ Sodium / Other,,,"$375,00 ",day,"$1 500,00","$30,00"
Blasting Major Loss Kit,,,"$1 302,00 ",day,"$5 208,00","$104,16"
Carpet & Upholstery Cleaning Unit - Portable,,,"$63,00 ",hour,,"$5,04"
Carpet & Upholstery Cleaning Unit - Truck Mount,,,"$81,90 ",hour,,"$6,55"
"Carpet Drying and Cleaning Charges (in plant, per sqm)",,,"$11,25 ",each,,"$0,90"
"Carpet Drying Only (in plant, per sqm)",,,"$6,05 ",each,,"$0,48"
Circular Saw,,,"$26,00 ",day,"$104,00","$2,08"
Compressor 240V,,,"$78,75 ",day,"$315,00","$6,30"
Compressor Diesel - 400 CFM (incl. fuel),,,"$600,00 ",day,"$2 400,00","$48,00"
Container - Freezer,,,"$115,50 ",day,"$462,00","$9,24"
Container - Dedicated Blasting,,,"$84,00 ",day,"$336,00","$6,72"
Container Hire,,,"$36,75 ",day,"$147,00","$2,94"
Containment - ZipWall Pole,,,"$10,00 ",day,"$40,00","$2,40"
Dehumidification Room,,1,"$126,00 ",day,"$504,00","$10,08"
Dehumidifier - Desiccant (per sqm),,1,"$0,00 ",each,,"$19,20"
Dehumidifier - Desiccant 240V,,1,"$190,00 ",day,"$760,00","$15,20"
Dehumidifier - Large,,1,"$115,00 ",day,"$460,00","$9,20"
Dehumidifier - Medium,,1,"$80,00 ",day,"$320,00","$6,40"
Di Water Fed Pole,,,"$150,00 ",day,"$600,00","$12,00"
Drying Ovens,,,"$99,75 ",day,"$399,00","$7,98"
Drymatic Boost Box (each),,,"$120,00 ",day,"$480,00","$10,80"
Drymatic Floor and Wall Mat Large,,,"$90,00 ",day,"$360,00","$7,20"
Drymatic Floor and Wall Mat Medium,,,"$60,00 ",day,"$240,00","$4,80"
Drymatic Floor and Wall Mat Small,,,"$30,00 ",day,"$120,00","$2,40"
Drymatic II Heater (each),,,"$300,00 ",each,"$1 200,00","$28,73"
Fan - Axial,,1,"$68,25 ",day,"$273,00","$5,46"
Fan Air Mover - 6000 CFM Extractor,,1,"$126,00 ",day,"$504,00","$10,08"
Fan Air Mover - High Velocity,,1,"$40,00 ",day,"$160,00","$3,20"
Floor Scrubber,,,"$63,00 ",day,"$252,00","$5,04"
Fogger - Thermal & Wet,,,"$140,00 ",day,"$560,00","$11,20"
Fork Lift,,,"$0,00 ",day,,"$0,00"
Freeze Drying - Irradiation (per box),,,"$28,00 ",each,,"$2,24"
Freeze Drying - Documents (per box),,,"$155,00 ",each,,"$12,40"
Generator - 10.5 KVA,,,"$257,25 ",day,"$1 029,00","$20,58"
Generator - 5 KVA,,,"$126,00 ",day,"$504,00","$10,08"
Generator - 8 KVA,,,"$194,25 ",day,"$777,00","$15,54"
Generator - Over 10.5 KVA,,,"$0,00 ",day,,"$0,00"
Hard Surface Floor Tool,,,"$105,00 ",day,"$420,00","$8,40"
High Pressure Sprayer,,,"$220,50 ",day,"$882,00","$17,64"
High Pressure Washer - Electric,,,"$94,50 ",day,"$378,00","$7,56"
High Pressure Washer - Fuel,,,"$257,25 ",day,"$1 029,00","$20,58"
Hot Water Heater,,,"$84,00 ",day,"$336,00","$6,72"
Infra Red Thermal Imaging Camera,,,"$340,00 ",day,"$1 360,00","$27,20"
Lambrite,,,"$60,90 ",hour,,"$4,87"
Laser Cleaning Unit,,,"$1 272,00 ",day,,"$0,00"
Lights - Portable,,,"$31,50 ",day,"$126,00","$2,52"
Meter - APT Tester,,,"$140,00 ",day,"$560,00","$11,20"
Meter - Mega Insulation Resistance Tester,,,"$71,40 ",day,"$285,60","$5,71"
Meter - Moisture,,,"$89,25 ",day,"$357,00","$7,14"
Meter - Particulate,,,"$157,50 ",day,"$630,00","$12,60"
Negative Air Unit,,,"$220,50 ",day,"$882,00","$17,64"
Ozone Generator (Large),,,"$241,50 ",day,"$966,00","$19,32"
Ozone Generator (Small),,,"$99,75 ",day,"$399,00","$7,98"
