Code,Name,tz_offset
ACT,Canberra,600
ADE,Adelaide,570
ALB,Albury-Wodonga,600
BBY,Batemans Bay,600
BEN,Bendigo,600
BLR,Ballarat,600
BNE,Brisbane,600
BNK,Ballina,600
CCO,Central Coast,600
CFS,Coffs Harbour,600
GEL,Geelong,600
GOL,Gold Coast,600
GPS,Gippsland,600
HOR,Horsham,600
MEL,Melbourne,600
NWC,Newcastle,600
PMQ,Port Macquarie,600
SHP,Shepparton,600
SSC,Sunshine Coast,600
SYD,Sydney,600
TAS,Tasmania,600
WAGG,Wagga Wagga,600
WARR,Warrnambool,600
WOL,Wollongong,600
YEA,Yea,600
CWT,Central West,525
TSV,Townsville,600
BEG,Bega,600
MIL,Mildura Swan Hill,570
TAM,Tamworth,600
ADL,AdelaideOld,570
