suburb_name,postcode,state_code,location_code,country_code
Abercrombie River,2795,NSW,CWT,AU
Adare,4343,QLD,BNE,AU
Adelaide Mail Centre,5884,SA,MEL,AU
Adelaide Mail Centre,5888,SA,MEL,AU
Adelaide Mail Centre,5893,SA,MEL,AU
Adelaide Mail Centre,5897,SA,MEL,AU
Airlie Beach,4802,QLD,BNE,AU
Aitkenvale,4814,QLD,TSV,AU
Alawoona,5311,SA,MEL,AU
Alberta,4702,QLD,BNE,AU
Albion,4822,QLD,BNE,AU
Albion Dc,4010,QLD,BNE,AU
Aldershot,4650,QLD,BNE,AU
Alexandra Bridge,6288,WA,MEL,AU
Alexandria Mc,2004,NSW,SYD,AU
Alice Springs,0872,NT,,AU
Alison,2420,NSW,SYD,AU
Allambie Heights,2100,NSW,SYD,AU
Allan,4370,QLD,BNE,AU
Allgomera,2441,NSW,COFF,AU
Alligator Creek,4816,QLD,TSV,AU
Alphington,3078,VIC,MEL,AU
Altona,5351,SA,ADE,AU
Altona Gate,3025,VIC,GEEL,AU
Amelup,6338,WA,MEL,AU
Amyton,5431,SA,MEL,AU
Andrews Farm,5114,SA,ADE,AU
Annie River,0822,NT,,AU
Antigua,4650,QLD,BNE,AU
Antill Ponds,7120,TAS,TAS,AU
Antonymyre,6714,WA,MEL,AU
Anula,0812,NT,,AU
Apple Tree Flat,2850,NSW,CWT,AU
Arakoon,2431,NSW,COFF,AU
Aranbanga,4625,QLD,BNE,AU
Archer,0830,VIC,MEL,AU
Ardrossan,5571,SA,MEL,AU
Argyle,2350,NSW,SYD,AU
Arno Bay,5603,SA,MEL,AU
Arnold,0852,NT,,AU
Arrowsmith,6525,WA,MEL,AU
Artarmon,2064,NSW,SYD,AU
Arthurton,5572,SA,MEL,AU
Ascot,3364,VIC,BLR,AU
Ascot,4007,QLD,BNE,AU
Ascot Vale,3032,VIC,MEL,AU
Ashby,2463,NSW,COFF,AU
Ashville,5259,SA,ADE,AU
Aspley,4034,QLD,BNE,AU
Asquith,2077,NSW,SYD,AU
Aubigny,4401,QLD,BNE,AU
Auldana,5072,SA,ADE,AU
Australian Defence Forces,2890,NSW,SYD,AU
Avalon,2107,NSW,SYD,AU
Avoca,4670,QLD,BNE,AU
Avoca,7213,TAS,TAS,AU
Avonmore,3559,VIC,SHEP,AU
Axedale,3551,VIC,BEN,AU
AYERS ROCK,872,VIC,MEL,AU
Babinda,4861,QLD,BNE,AU
Back Creek,2390,NSW,SYD,AU
Back Creek,2480,NSW,BNOR,AU
Back Forest,2535,NSW,WOL,AU
Badgin,6302,WA,MEL,AU
Badgingarra,6521,WA,MEL,AU
Bagotville,2477,NSW,BNOR,AU
Bagshot,3551,VIC,BEN,AU
Bahrs Scrub,4207,QLD,GOL,AU
Bakers Hill,6562,WA,MEL,AU
Balaklava,5461,SA,MEL,AU
Balberra,4740,QLD,BNE,AU
Balcatta,6021,WA,MEL,AU
Balga,6061,WA,MEL,AU
Balingup,6253,WA,MEL,AU
Balladoran,2831,NSW,SYD,AU
Ballapur,3483,VIC,HOR,AU
Ballard,4352,QLD,BNE,AU
Balmoral,2571,NSW,WOL,AU
Balmoral,3407,VIC,HOR,AU
Bamboo Creek,4860,QLD,BNE,AU
Bamganie,3333,VIC,GEEL,AU
Bandiana,3694,VIC,ALB,AU
Bandon Grove,2420,NSW,SYD,AU
Bandya,6440,WA,MEL,AU
Bangalee,4703,QLD,BNE,AU
Bangerang,3393,VIC,HOR,AU
Banksia Beach,4507,QLD,SSC,AU
Barabba,5460,SA,MEL,AU
Barcoongere,2460,NSW,COFF,AU
Bardon,4065,QLD,BNE,AU
Barfold,3444,VIC,BEN,AU
Barlil,4605,QLD,SSC,AU
Barney Downs,2372,NSW,,AU
Barnsley,2278,NSW,NEWC,AU
Barooga,3644,NSW,SHEP,AU
Barretts Creek,2460,NSW,COFF,AU
Abba River,6280,WA,MEL,AU
Abbey,6280,WA,MEL,AU
Abbotsford,2046,NSW,SYD,AU
Abbotsford,4670,QLD,BNE,AU
Abbotsham,7315,TAS,TAS,AU
Abercrombie,2795,NSW,CWT,AU
Aberdare,2325,NSW,NEWC,AU
Aberdeen,2359,NSW,SYD,AU
Acacia Hills,0822,NT,,AU
Acacia Ridge,4110,QLD,BNE,AU
Acheron,3714,VIC,YEA,AU
Adams Estate,3984,VIC,GPS,AU
Adelaide,5810,SA,MEL,AU
Adelaide Mail Centre,5865,SA,MEL,AU
Adelaide Mail Centre,5880,SA,MEL,AU
Adelaide Mail Centre,5881,SA,MEL,AU
Adelaide Mail Centre,5882,SA,MEL,AU
Adelaide Mail Centre,5889,SA,MEL,AU
Adelaide University,5005,SA,ADE,AU
Aherrenge,0872,NT,,AU
Airds,2560,NSW,SYD,AU
ALAWA,810,VIC,MEL,AU
Albany,6330,WA,MEL,AU
Alberton West,3971,VIC,GPS,AU
Alfredton,3350,VIC,BLR,AU
Alice Creek,4610,QLD,BNE,AU
ALICE SPRINGS,871,VIC,MEL,AU
Allandale,2320,NSW,NEWC,AU
Allawah,2218,NSW,SYD,AU
Allenview,4285,QLD,GOL,AU
Alligator Creek,4740,QLD,BNE,AU
Allora,4362,QLD,BNE,AU
Alstonville,2477,NSW,BNOR,AU
Altona North,3025,VIC,GEEL,AU
Alvie,3249,VIC,GEEL,AU
Amaroo,4829,QLD,BNE,AU
AMATA,872,VIC,MEL,AU
Amberley,4306,QLD,BNE,AU
Amherst,3371,VIC,BLR,AU
Amiens,4380,QLD,BNE,AU
Anama,5464,SA,MEL,AU
Andergrove,4740,QLD,BNE,AU
Angelo River,6642,WA,MEL,AU
Anmatjere,0872,NT,,AU
Annerley Dc,4103,QLD,BNE,AU
Antewenegerrde,0872,NT,,AU
Apoinga,5413,SA,MEL,AU
Appin,2560,NSW,SYD,AU
Appin South,3579,VIC,MEL,AU
Apsley,3319,VIC,HOR,AU
Apsley,7030,TAS,TAS,AU
Aramac,4726,QLD,BNE,AU
Arcadia,2159,NSW,SYD,AU
Archdale,3475,VIC,BEN,AU
Ardross,6153,WA,MEL,AU
AREYONGA,872,VIC,MEL,AU
Argoon,4702,QLD,BNE,AU
Armadale,6992,WA,MEL,AU
Armstrong,3377,VIC,BLR,AU
Armstrong Creek,3217,VIC,GEEL,AU
Arundel,4214,QLD,GOL,AU
Ashbourne,3442,VIC,BEN,AU
Ashby Island,2463,NSW,COFF,AU
Ashton,5137,SA,ADE,AU
Atkinsons Dam,4311,QLD,BNE,AU
Attadale,6156,WA,MEL,AU
Atwell,6164,WA,MEL,AU
Aubin Grove,6164,WA,MEL,AU
Aurukun,4871,QLD,BNE,AU
Austral,2179,NSW,SYD,AU
Australia Fair,4215,QLD,GOL,AU
Australia Square,1213,NSW,SYD,AU
Avalon Beach,2107,NSW,SYD,AU
Aveley,6069,WA,MEL,AU
Avisford,2850,NSW,CWT,AU
Avoca,2577,NSW,WOL,AU
AVON PLAINS,3477,VIC,BEN,AU
Avon Valley National Park,6084,WA,MEL,AU
Avondale,2530,NSW,WOL,AU
Awaba,2283,NSW,NEWC,AU
Axe Creek,3551,VIC,BEN,AU
Ayers Rock,0872,NT,,AU
Baan Baa,2390,NSW,SYD,AU
Baandee,6412,WA,MEL,AU
Babinda,2825,NSW,SYD,AU
Back Creek,2484,NSW,BNOR,AU
Back Creek,2671,NSW,WAGG,AU
Bagnoo,2446,NSW,PMAC,AU
Bailieston,3608,VIC,SHEP,AU
Bailup,6082,WA,MEL,AU
Bajool,4699,QLD,BNE,AU
Bakers Bend,4470,QLD,BNE,AU
Baking Board,4413,QLD,BNE,AU
Bald Ridge,2795,NSW,CWT,AU
Baldina,5417,SA,MEL,AU
Baldivis,6171,WA,MEL,AU
Barton,2600,ACT,ACT,AU
Barunah Park,3329,VIC,GEEL,AU
Barwidgee,3737,VIC,ALB,AU
Barwon,2396,NSW,SYD,AU
Basalt,4820,QLD,TSV,AU
Basket Range,5138,SA,ADE,AU
Bay Of Shoals,5223,SA,MEL,AU
Bayswater North,3153,VIC,MEL,AU
Bayview,2104,NSW,SYD,AU
Beachport,5280,SA,MEL,AU
Beatrice,4886,QLD,BNE,AU
Beaumaris,7215,TAS,TAS,AU
Beaumont,2577,NSW,WOL,AU
Beaumonts,5320,SA,MEL,AU
Beckom,2665,NSW,WAGG,AU
Bectric,2665,NSW,WAGG,AU
Beechwood,2446,NSW,PMAC,AU
Beeliar,6164,WA,MEL,AU
Begonia,4487,QLD,BNE,AU
Belair,5052,SA,ADE,AU
Belalie East,5491,SA,MEL,AU
Belgrave South,3160,VIC,MEL,AU
Belhus,6069,WA,MEL,AU
Bell Post Hill,3215,VIC,GEEL,AU
Bellarine,3221,VIC,GEEL,AU
Bellingen,2454,NSW,COFF,AU
Bellmere,4510,QLD,SSC,AU
Belmont,6104,WA,MEL,AU
Belmore River,2440,NSW,PMAC,AU
Beltana,5730,SA,MEL,AU
Bemboka,2550,NSW,BEG,AU
Bemerside,4850,QLD,BNE,AU
Benandarah,2536,NSW,BBAY,AU
Benayeo,3319,VIC,HOR,AU
Bendoc,3888,VIC,MEL,AU
Bendolba,2420,NSW,SYD,AU
Bendoura,2622,NSW,BBAY,AU
Benjinup,6255,WA,MEL,AU
Berajondo,4674,QLD,BNE,AU
Beremboke,3342,VIC,BLR,AU
Bergalia,2537,NSW,BBAY,AU
Berkshire Park,2765,NSW,SYD,AU
Berkshire Valley,6510,WA,MEL,AU
Berridale,2628,NSW,BBAY,AU
Berrigal,2390,NSW,SYD,AU
Berrimal,3518,VIC,BEN,AU
Berry Jerry,2701,NSW,WAGG,AU
Berrybank,3323,VIC,WARR,AU
Bete Bolong,3888,VIC,MEL,AU
Bete Bolong North,3888,VIC,MEL,AU
Bethanga,3691,VIC,ALB,AU
Beulah Park,5067,SA,ADE,AU
Bexley North,2207,NSW,SYD,AU
Biarra,4313,QLD,BNE,AU
Biboohra,4880,QLD,BNE,AU
Biddaddaba,4275,QLD,GOL,AU
Biddelia,6260,WA,MEL,AU
Bidwill,4650,QLD,BNE,AU
BIG DESERT,3490,VIC,MEL,AU
